Date,Invest,P/L,label,label_100,label_150,label_200,label_250
20160105,1025,190,1,1,1,0,0
20160106,960,255,1,1,1,1,1
20160107,1025,15,1,0,0,0,0
20160108,1135,215,1,1,1,1,0
20160112,1105,245,1,1,1,1,0
20160113,1055,295,1,1,1,1,1
20160114,1135,90,1,0,0,0,0
20160115,1030,320,1,1,1,1,1
20160118,1190,-110,0,0,0,0,0
20160119,1120,115,1,1,0,0,0
20160120,1045,220,1,1,1,1,0
20160121,1180,170,1,1,1,0,0
20160122,1255,145,1,1,0,0,0
20160125,1195,-290,0,0,0,0,0
20160126,1105,55,1,0,0,0,0
20160127,1095,15,1,0,0,0,0
20160128,1090,20,1,0,0,0,0
20160129,1080,-175,0,0,0,0,0
20160201,775,69,1,0,0,0,0
20160202,1180,130,1,1,0,0,0
20160203,1230,150,1,1,1,0,0
20160204,1230,545,1,1,1,1,1
20160210,1380,200,1,1,1,1,0
20160212,1420,-95,0,0,0,0,0
20160215,1380,120,1,1,0,0,0
20160216,1270,-335,0,0,0,0,0
20160217,1150,-310,0,0,0,0,0
20160218,1095,-270,0,0,0,0,0
20160219,1120,-355,0,0,0,0,0
20160222,1075,-420,0,0,0,0,0
20160223,880,-90,0,0,0,0,0
20160224,960,60,1,0,0,0,0
20160225,865,165,1,1,1,0,0
20160226,785,0,0,0,0,0,0
20160229,700,30,1,0,0,0,0
20160301,660,370,1,1,1,1,1
20160307,1050,-170,0,0,0,0,0
20160309,1070,-20,0,0,0,0,0
20160310,1040,-330,0,0,0,0,0
20160311,1075,-25,0,0,0,0,0
20160315,890,-235,0,0,0,0,0
20160316,785,-245,0,0,0,0,0
20160317,690,-180,0,0,0,0,0
20160318,705,-205,0,0,0,0,0
20160322,650,-195,0,0,0,0,0
20160323,575,-115,0,0,0,0,0
20160324,575,-150,0,0,0,0,0
20160325,560,241,1,1,1,1,0
20160328,515,489,1,1,1,1,1
20160329,500,440,1,1,1,1,1
20160401,905,180,1,1,1,0,0
20160404,1045,-150,0,0,0,0,0
20160405,1025,-145,0,0,0,0,0
20160406,1060,315,1,1,1,1,1
20160407,1010,325,1,1,1,1,1
20160408,1045,25,1,0,0,0,0
20160411,980,355,1,1,1,1,1
20160412,925,410,1,1,1,1,1
20160413,865,240,1,1,1,1,0
20160414,870,265,1,1,1,1,1
20160415,885,220,1,1,1,1,0
20160418,945,115,1,1,0,0,0
20160419,895,240,1,1,1,1,0
20160420,915,160,1,1,1,0,0
20160421,940,139,1,1,0,0,0
20160422,940,380,1,1,1,1,1
20160425,895,672,1,1,1,1,1
20160426,875,498,1,1,1,1,1
20160427,850,523,1,1,1,1,1
20160428,1220,380,1,1,1,1,1
20160506,1045,0,0,0,0,0,0
20160509,995,50,1,0,0,0,0
20160510,890,0,0,0,0,0,0
20160511,865,-85,0,0,0,0,0
20160512,880,-140,0,0,0,0,0
20160513,835,-140,0,0,0,0,0
20160516,835,-195,0,0,0,0,0
20160517,795,-205,0,0,0,0,0
20160518,780,-80,0,0,0,0,0
20160519,770,-200,0,0,0,0,0
20160520,730,-110,0,0,0,0,0
20160523,670,-5,0,0,0,0,0
20160524,625,50,1,0,0,0,0
20160525,590,-140,0,0,0,0,0
20160526,580,-180,0,0,0,0,0
20160527,565,24,1,0,0,0,0
20160530,515,184,1,1,1,0,0
20160531,495,204,1,1,1,1,0
20160602,1040,-180,0,0,0,0,0
20160606,995,60,1,0,0,0,0
20160607,935,120,1,1,0,0,0
20160608,930,305,1,1,1,1,1
20160609,895,340,1,1,1,1,1
20160610,875,180,1,1,1,0,0
20160613,895,160,1,1,1,0,0
20160614,965,-55,0,0,0,0,0
20160615,975,70,1,0,0,0,0
20160616,1010,-185,0,0,0,0,0
20160617,955,140,1,1,0,0,0
20160620,905,60,1,0,0,0,0
20160621,875,90,1,0,0,0,0
20160622,870,180,1,1,1,0,0
20160623,940,110,1,1,0,0,0
20160627,865,-125,0,0,0,0,0
20160628,760,-20,0,0,0,0,0
20160629,1175,-135,0,0,0,0,0
20160630,1130,-115,0,0,0,0,0
20160701,1065,-70,0,0,0,0,0
20160704,1050,70,1,0,0,0,0
20160705,1000,200,1,1,1,1,0
20160707,1050,100,1,1,0,0,0
20160708,1015,135,1,1,0,0,0
20160711,1005,145,1,1,0,0,0
20160712,1010,55,1,0,0,0,0
20160713,1045,5,1,0,0,0,0
20160714,1025,75,1,0,0,0,0
20160715,975,-90,0,0,0,0,0
20160719,955,-65,0,0,0,0,0
20160720,925,-65,0,0,0,0,0
20160721,955,-165,0,0,0,0,0
20160725,890,-390,0,0,0,0,0
20160726,865,-335,0,0,0,0,0
20160727,895,-410,0,0,0,0,0
20160729,910,-570,0,0,0,0,0
20160801,590,-257,0,0,0,0,0
20160803,915,-90,0,0,0,0,0
20160804,875,-15,0,0,0,0,0
20160808,755,-135,0,0,0,0,0
20160809,700,-110,0,0,0,0,0
20160810,675,-100,0,0,0,0,0
20160812,645,-90,0,0,0,0,0
20160815,625,-35,0,0,0,0,0
20160817,575,-105,0,0,0,0,0
20160818,565,-65,0,0,0,0,0
20160819,565,-70,0,0,0,0,0
20160822,530,-110,0,0,0,0,0
20160823,500,-10,0,0,0,0,0
20160824,485,50,1,0,0,0,0
20160825,460,-15,0,0,0,0,0
20160826,470,183,1,1,1,0,0
20160829,430,100,1,1,0,0,0
20160830,400,-138,0,0,0,0,0
20160906,920,-90,0,0,0,0,0
20160907,925,-45,0,0,0,0,0
20160908,870,30,1,0,0,0,0
20160909,830,85,1,0,0,0,0
20160912,830,-220,0,0,0,0,0
20160913,780,-270,0,0,0,0,0
20160915,785,-290,0,0,0,0,0
20160916,765,-300,0,0,0,0,0
20160920,745,-195,0,0,0,0,0
20160921,735,-275,0,0,0,0,0
20160923,565,-160,0,0,0,0,0
20160926,500,-135,0,0,0,0,0
20160927,520,20,1,0,0,0,0
20160928,475,37,1,0,0,0,0
20160929,430,-55,0,0,0,0,0
20160930,460,28,1,0,0,0,0
20161003,400,-92,0,0,0,0,0
20161005,770,-80,0,0,0,0,0
20161006,780,-175,0,0,0,0,0
20161011,735,-145,0,0,0,0,0
20161012,705,-65,0,0,0,0,0
20161013,685,-65,0,0,0,0,0
20161014,700,20,1,0,0,0,0
20161017,630,111.78,1,1,0,0,0
20161018,600,121.78,1,1,0,0,0
20161019,565,-15,0,0,0,0,0
20161020,545,60,1,0,0,0,0
20161021,525,-75,0,0,0,0,0
20161024,500,-50,0,0,0,0,0
20161025,490,-10,0,0,0,0,0
20161026,465,70,1,0,0,0,0
20161027,435,35,1,0,0,0,0
20161028,420,55,1,0,0,0,0
20161031,420,-80,0,0,0,0,0
20161102,805,-70,0,0,0,0,0
20161104,880,50,1,0,0,0,0
20161108,810,-75,0,0,0,0,0
20161109,750,-15,0,0,0,0,0
20161110,945,100,1,1,0,0,0
20161111,705,90,1,0,0,0,0
20161114,700,110,1,1,0,0,0
20161115,710,45,1,0,0,0,0
20161116,660,55,1,0,0,0,0
20161117,660,90,1,0,0,0,0
20161118,620,-60,0,0,0,0,0
20161121,575,-45,0,0,0,0,0
20161122,530,95,1,0,0,0,0
20161124,500,-50,0,0,0,0,0
20161125,485,-140,0,0,0,0,0
20161128,485,-160,0,0,0,0,0
20161129,470,-171,0,0,0,0,0
20161201,880,-45,0,0,0,0,0
20161205,850,235,1,1,1,1,0
20161206,820,210,1,1,1,1,0
20161207,805,280,1,1,1,1,1
20161208,780,200,1,1,1,1,0
20161209,765,70,1,0,0,0,0
20161212,825,-145,0,0,0,0,0
20161213,770,-110,0,0,0,0,0
20161214,730,-155,0,0,0,0,0
20161215,680,-200,0,0,0,0,0
20161216,675,-200,0,0,0,0,0
20161219,650,-180,0,0,0,0,0
20161220,620,-135,0,0,0,0,0
20161221,570,60,1,0,0,0,0
20161222,560,-80,0,0,0,0,0
20161226,495,-35,0,0,0,0,0
20161227,465,-115,0,0,0,0,0
20161228,470,-180,0,0,0,0,0
20161229,480,-200,0,0,0,0,0
20161230,995,71.09,1,0,0,0,0
20170104,930,-230,0,0,0,0,0
20170110,830,0,0,0,0,0,0
20170111,790,40,1,0,0,0,0
20170112,795,-40,0,0,0,0,0
20170113,720,-80,0,0,0,0,0
20170116,665,15,1,0,0,0,0
20170117,680,-105,0,0,0,0,0
20170118,715,25,1,0,0,0,0
20170120,675,-115,0,0,0,0,0
20170123,630,50,1,0,0,0,0
20170124,605,136.09,1,1,0,0,0
20170125,560,-155,0,0,0,0,0
20170126,530,-120,0,0,0,0,0
20170127,515,144,1,1,0,0,0
20170131,470,-218,0,0,0,0,0
20170203,865,-85,0,0,0,0,0
20170207,835,70,1,0,0,0,0
20170208,755,75,1,0,0,0,0
20170209,715,115,1,1,0,0,0
20170210,685,-135,0,0,0,0,0
20170213,695,-160,0,0,0,0,0
20170214,650,-160,0,0,0,0,0
20170215,610,-140,0,0,0,0,0
20170216,580,-95,0,0,0,0,0
20170217,585,-125,0,0,0,0,0
20170220,545,-100,0,0,0,0,0
20170221,515,-65,0,0,0,0,0
20170222,495,-70,0,0,0,0,0
20170223,470,-135,0,0,0,0,0
20170224,470,-145,0,0,0,0,0
20170227,450,-136,0,0,0,0,0
20170228,430,-235,0,0,0,0,0
20170301,905,-180,0,0,0,0,0
20170302,880,-160,0,0,0,0,0
20170303,845,-155,0,0,0,0,0
20170306,835,-150,0,0,0,0,0
20170307,770,-105,0,0,0,0,0
20170308,755,-140,0,0,0,0,0
20170310,705,-120,0,0,0,0,0
20170313,690,85,1,0,0,0,0
20170315,665,-40,0,0,0,0,0
20170316,650,75,1,0,0,0,0
20170317,585,5,1,0,0,0,0
20170321,560,-90,0,0,0,0,0
20170322,580,-125,0,0,0,0,0
20170323,595,-115,0,0,0,0,0
20170324,590,-190,0,0,0,0,0
20170327,555,-135,0,0,0,0,0
20170328,525,-110,0,0,0,0,0
20170329,480,241,1,1,1,1,0
20170330,450,74,1,0,0,0,0
20170403,435,-101,0,0,0,0,0
20170404,400,-25,0,0,0,0,0
20170406,840,-10,0,0,0,0,0
20170407,810,15,1,0,0,0,0
20170410,820,5,1,0,0,0,0
20170412,855,-175,0,0,0,0,0
20170413,860,-125,0,0,0,0,0
20170414,790,-140,0,0,0,0,0
20170417,795,90,1,0,0,0,0
20170418,710,143,1,1,0,0,0
20170419,715,25,1,0,0,0,0
20170420,670,179,1,1,1,0,0
20170421,695,-10,0,0,0,0,0
20170424,575,76,1,0,0,0,0
20170425,430,491,1,1,1,1,1
20170426,430,313,1,1,1,1,1
20170427,385,318,1,1,1,1,1
20170428,710,130,1,1,0,0,0
20170502,660,110,1,1,0,0,0
20170508,615,-90,0,0,0,0,0
20170509,600,-100,0,0,0,0,0
20170510,600,0,0,0,0,0,0
20170511,555,85,1,0,0,0,0
20170512,535,-25,0,0,0,0,0
20170515,525,-100,0,0,0,0,0
20170516,495,-65,0,0,0,0,0
20170517,505,-110,0,0,0,0,0
20170518,570,-155,0,0,0,0,0
20170519,530,-165,0,0,0,0,0
20170522,475,-155,0,0,0,0,0
20170523,445,-160,0,0,0,0,0
20170524,400,-120,0,0,0,0,0
20170525,385,68,1,0,0,0,0
20170526,360,148,1,1,0,0,0
20170529,340,-60,0,0,0,0,0
20170530,325,58,1,0,0,0,0
20170601,665,-20,0,0,0,0,0
20170602,675,-90,0,0,0,0,0
20170606,670,-115,0,0,0,0,0
20170607,665,-120,0,0,0,0,0
20170608,665,-160,0,0,0,0,0
20170609,635,-155,0,0,0,0,0
20170612,605,-45,0,0,0,0,0
20170613,575,-45,0,0,0,0,0
20170614,535,-55,0,0,0,0,0
20170615,535,-50,0,0,0,0,0
20170616,535,-2.25,0,0,0,0,0
20170619,485,-40,0,0,0,0,0
20170620,465,-95,0,0,0,0,0
20170621,455,-95,0,0,0,0,0
20170622,460,-45,0,0,0,0,0
20170623,440,-95,0,0,0,0,0
20170626,405,-90,0,0,0,0,0
20170627,385,15,1,0,0,0,0
20170628,380,-65,0,0,0,0,0
20170629,355,93,1,0,0,0,0
20170630,385,-150,0,0,0,0,0
20170703,390,-180,0,0,0,0,0
20170704,325,-133,0,0,0,0,0
20170705,660,-165,0,0,0,0,0
20170707,685,-225,0,0,0,0,0
20170710,610,-225,0,0,0,0,0
20170711,545,-180,0,0,0,0,0
20170712,515,-160,0,0,0,0,0
20170713,490,-105,0,0,0,0,0
20170714,465,-140,0,0,0,0,0
20170718,420,-125,0,0,0,0,0
20170719,420,-105,0,0,0,0,0
20170720,390,-90,0,0,0,0,0
20170721,355,-50,0,0,0,0,0
20170724,360,-105,0,0,0,0,0
20170725,330,-85,0,0,0,0,0
20170726,310,-100,0,0,0,0,0
20170727,305,-120,0,0,0,0,0
20170728,300,-143,0,0,0,0,0
20170731,330,-110,0,0,0,0,0
20170801,555,-60,0,0,0,0,0
20170802,510,-10,0,0,0,0,0
20170804,480,-20,0,0,0,0,0
20170807,480,140,1,1,0,0,0
20170808,440,245,1,1,1,1,0
20170809,495,80,1,0,0,0,0
20170810,530,-15,0,0,0,0,0
20170814,620,-190,0,0,0,0,0
20170815,510,-115,0,0,0,0,0
20170816,480,0,0,0,0,0,0
20170817,445,-10,0,0,0,0,0
20170818,535,-215,0,0,0,0,0
20170821,490,-125,0,0,0,0,0
20170822,460,-125,0,0,0,0,0
20170823,395,-90,0,0,0,0,0
20170824,410,9,1,0,0,0,0
20170825,390,-50,0,0,0,0,0
20170828,340,-110,0,0,0,0,0
20170829,340,-150,0,0,0,0,0
20170830,660,10,1,0,0,0,0
20170831,660,40,1,0,0,0,0
20170904,680,-170,0,0,0,0,0
20170905,655,-95,0,0,0,0,0
20170906,715,0,0,0,0,0,0
20170907,650,-65,0,0,0,0,0
20170908,670,45,1,0,0,0,0
20170911,600,90,1,0,0,0,0
20170912,525,105,1,1,0,0,0
20170913,500,150,1,1,1,0,0
20170914,480,170,1,1,1,0,0
20170915,495,135,1,1,0,0,0
20170919,465,-55,0,0,0,0,0
20170920,455,-85,0,0,0,0,0
20170921,465,-110,0,0,0,0,0
20170922,395,-95,0,0,0,0,0
20170925,410,-100,0,0,0,0,0
20170927,385,51,1,0,0,0,0
20170928,365,15,1,0,0,0,0
20170929,340,76,1,0,0,0,0
20171002,325,197,1,1,1,0,0
20171003,680,105,1,1,0,0,0
20171004,690,-10,0,0,0,0,0
20171005,650,275,1,1,1,1,1
20171006,640,195,1,1,1,0,0
20171011,610,240,1,1,1,1,0
20171012,630,90,1,0,0,0,0
20171013,600,215,1,1,1,1,0
20171016,650,30,1,0,0,0,0
20171017,620,15,1,0,0,0,0
20171018,560,130,1,1,0,0,0
20171019,535,-5,0,0,0,0,0
20171020,535,155,1,1,1,0,0
20171023,520,-125,0,0,0,0,0
20171024,455,344,1,1,1,1,1
20171025,465,178,1,1,1,0,0
20171026,450,349,1,1,1,1,1
20171027,405,300,1,1,1,1,1
20171030,410,256,1,1,1,1,1
20171031,750,250,1,1,1,1,0
20171101,770,300,1,1,1,1,1
20171102,820,-20,0,0,0,0,0
20171106,790,-20,0,0,0,0,0
20171107,750,30,1,0,0,0,0
20171108,760,45,1,0,0,0,0
20171109,800,125,1,1,0,0,0
20171110,935,-110,0,0,0,0,0
20171113,800,25,1,0,0,0,0
20171114,790,-120,0,0,0,0,0
20171115,780,-175,0,0,0,0,0
20171116,800,175,1,1,1,0,0
20171117,800,-270,0,0,0,0,0
20171120,805,-215,0,0,0,0,0
20171121,710,-210,0,0,0,0,0
20171122,675,-210,0,0,0,0,0
20171124,615,-85,0,0,0,0,0
20171127,565,-270,0,0,0,0,0
20171128,520,-270,0,0,0,0,0
20171201,970,-31.7,0,0,0,0,0
20171204,945,-6.7,0,0,0,0,0
20171205,940,-205,0,0,0,0,0
20171206,875,-165,0,0,0,0,0
20171207,860,48.3,1,0,0,0,0
20171208,890,-240,0,0,0,0,0
20171211,795,-180,0,0,0,0,0
20171212,740,-170,0,0,0,0,0
20171213,700,-155,0,0,0,0,0
20171214,650,-140,0,0,0,0,0
20171215,660,-101.7,0,0,0,0,0
20171218,645,-140,0,0,0,0,0
20171219,605,-140,0,0,0,0,0
20171220,575,-105,0,0,0,0,0
20171221,555,-85,0,0,0,0,0
20171222,505,60,1,0,0,0,0
20171226,465,305,1,1,1,1,1
20171227,475,295,1,1,1,1,1
20180105,825,-110,0,0,0,0,0
20180109,855,-180,0,0,0,0,0
20180110,855,-165,0,0,0,0,0
20180111,795,-85,0,0,0,0,0
20180112,765,-120,0,0,0,0,0
20180115,685,-30,0,0,0,0,0
20180116,645,0,0,0,0,0,0
20180117,665,-80,0,0,0,0,0
20180118,675,-65,0,0,0,0,0
20180119,675,-140,0,0,0,0,0
20180122,640,-95,0,0,0,0,0
20180123,620,71,1,0,0,0,0
20180124,610,262,1,1,1,1,1
20180125,600,-55,0,0,0,0,0
20180126,550,-5,0,0,0,0,0
20180129,510,35,1,0,0,0,0
20180130,485,279,1,1,1,1,1
20180131,965,955,1,1,1,1,1
20180201,930,990,1,1,1,1,1
20180202,935,1175,1,1,1,1,1
20180206,1335,-140,0,0,0,0,0
20180207,1120,125,1,1,0,0,0
20180209,1380,-430,0,0,0,0,0
20180213,1065,-100,0,0,0,0,0
20180214,1140,-10,0,0,0,0,0
20180215,925,70,1,0,0,0,0
20180216,890,-40,0,0,0,0,0
20180219,785,25,1,0,0,0,0
20180220,760,-130,0,0,0,0,0
20180221,745,-145,0,0,0,0,0
20180222,775,35,1,0,0,0,0
20180223,715,95,1,0,0,0,0
20180226,600,427,1,1,1,1,1
20180227,515,677,1,1,1,1,1
20180301,1180,90.69,1,0,0,0,0
20180305,1265,-75,0,0,0,0,0
20180308,1130,-220,0,0,0,0,0
20180312,1015,40,1,0,0,0,0
20180319,865,550,1,1,1,1,1
20180320,915,190,1,1,1,0,0
20180322,810,270,1,1,1,1,1
20180323,975,130,1,1,0,0,0
20180327,770,-60,0,0,0,0,0
20180328,795,195.69,1,1,1,0,0
20180329,745,-80,0,0,0,0,0
20180330,685,-265,0,0,0,0,0
20180402,640,-95,0,0,0,0,0
20180403,660,90,1,0,0,0,0
20180405,1005,-125,0,0,0,0,0
20180406,990,-245,0,0,0,0,0
20180410,930,-170,0,0,0,0,0
20180411,935,-220,0,0,0,0,0
20180412,850,106.77,1,1,0,0,0
20180413,780,-48.23,0,0,0,0,0
20180416,705,-80,0,0,0,0,0
20180417,665,-85,0,0,0,0,0
20180418,625,51.77,1,0,0,0,0
20180419,605,-125,0,0,0,0,0
